voted_date,Neighborhood,Council,SBD,age_code,Age4,Age2,gender_code,party_code,days_out,VOTER_ID,Year
2021-09-20,City Park West,9,4,7,3,2,1,1,43 days,1,2021
2021-09-20,Congress Park,10,3,3,1,1,0,1,43 days,1,2021
2021-09-20,Hale,5,3,3,1,1,1,1,43 days,1,2021
2021-09-20,Hale,5,3,4,2,1,1,1,43 days,1,2021
2021-09-20,Hale,5,3,9,3,2,1,1,43 days,1,2021
2021-09-20,Highland,1,5,4,2,1,1,1,43 days,1,2021
2021-09-20,University,6,1,6,2,1,1,2,43 days,1,2021
2021-09-20,University,6,1,9,3,2,1,2,43 days,1,2021
2021-09-20,Washington Park,6,1,2,1,1,1,1,43 days,1,2021
2021-09-20,Washington Park West,7,1,10,4,2,0,2,43 days,1,2021
2021-09-20,Washington Virginia Vale,5,3,11,4,2,1,1,43 days,1,2021
2021-09-20,Washington Virginia Vale,6,3,3,1,1,1,1,43 days,1,2021
2021-09-21,Congress Park,10,3,10,4,2,1,1,42 days,1,2021
2021-09-21,Jefferson Park,1,5,5,2,1,1,1,42 days,1,2021
2021-09-21,University,6,1,4,2,1,1,1,42 days,1,2021
2021-09-23,Capitol Hill,10,3,8,3,2,0,1,40 days,1,2021
2021-09-23,Cory Merrill,6,1,8,3,2,0,2,40 days,1,2021
2021-09-23,Gateway / Green Valley Ranch,11,4,10,4,2,0,1,40 days,1,2021
2021-09-23,Marston,2,2,1,1,1,1,2,40 days,1,2021
2021-09-23,Rosedale,6,1,11,4,2,1,1,40 days,1,2021
2021-09-23,Union Station,9,5,5,2,1,0,1,40 days,1,2021
2021-09-23,Union Station,9,5,9,3,2,1,3,40 days,1,2021
2021-09-23,Washington Virginia Vale,6,3,6,2,1,0,2,40 days,1,2021
2021-09-27,Berkeley,1,5,3,1,1,0,1,36 days,1,2021
2021-09-27,Cheesman Park,10,3,3,1,1,0,1,36 days,1,2021
2021-09-27,Cherry Creek,10,3,1,1,1,1,1,36 days,1,2021
2021-09-27,Gateway / Green Valley Ranch,11,4,3,1,1,1,2,36 days,1,2021
2021-09-27,Harvey Park South,2,2,10,4,2,1,3,36 days,1,2021
2021-09-27,Sloan Lake,1,5,3,1,1,0,1,36 days,1,2021
2021-09-27,Sloan Lake,1,5,7,3,2,0,1,36 days,1,2021
2021-09-27,University Park,6,1,2,1,1,0,1,36 days,1,2021
2021-09-27,Whittier,9,4,3,1,1,0,1,36 days,1,2021
2021-09-28,Cory Merrill,6,1,10,4,2,0,2,35 days,1,2021
2021-09-28,Indian Creek,6,1,6,2,1,1,2,35 days,1,2021
2021-09-28,University,6,1,10,4,2,0,1,35 days,1,2021
2021-09-29,City Park,9,4,3,1,1,1,1,34 days,1,2021
2021-09-29,Washington Park West,7,1,2,1,1,1,2,34 days,1,2021
2021-10-01,Country Club,10,3,10,4,2,1,2,32 days,1,2021
2021-10-01,West Highland,1,5,8,3,2,1,1,32 days,1,2021
2021-10-04,Highland,1,5,4,2,1,0,1,29 days,1,2021
2021-10-04,West Colfax,3,5,2,1,1,1,1,29 days,1,2021
2021-10-06,Hampden,4,1,7,3,2,1,1,27 days,1,2021
2021-10-06,Hampden South,4,1,7,3,2,1,3,27 days,1,2021
2021-10-06,North Park Hill,8,4,3,1,1,0,1,27 days,1,2021
2021-10-06,Platt Park,7,1,9,3,2,1,2,27 days,1,2021
2021-10-06,Speer,10,5,10,4,2,1,1,27 days,1,2021
