voted_date,Neighborhood,Council,SBD,age_code,Age4,Age2,gender_code,party_code,days_out,VOTER_ID,Year
2019-10-21,Athmar Park,7,2,1,1,1,1,2,15 days,2,2019
2019-10-21,Athmar Park,7,2,1,1,1,2,2,15 days,1,2019
2019-10-21,Athmar Park,7,2,1,1,1,3,2,15 days,1,2019
2019-10-21,Athmar Park,7,2,2,1,1,1,1,15 days,1,2019
2019-10-21,Athmar Park,7,2,2,1,1,1,2,15 days,3,2019
2019-10-21,Athmar Park,7,2,2,1,1,2,1,15 days,5,2019
2019-10-21,Athmar Park,7,2,2,1,1,2,2,15 days,1,2019
2019-10-21,Athmar Park,7,2,3,1,1,1,1,15 days,2,2019
2019-10-21,Athmar Park,7,2,3,1,1,1,2,15 days,2,2019
2019-10-21,Athmar Park,7,2,3,1,1,1,4,15 days,1,2019
2019-10-21,Athmar Park,7,2,3,1,1,2,1,15 days,4,2019
2019-10-21,Athmar Park,7,2,3,1,1,2,2,15 days,3,2019
2019-10-21,Athmar Park,7,2,3,1,1,2,4,15 days,1,2019
2019-10-21,Athmar Park,7,2,4,2,1,1,1,15 days,1,2019
2019-10-21,Athmar Park,7,2,4,2,1,1,2,15 days,1,2019
2019-10-21,Athmar Park,7,2,4,2,1,2,1,15 days,3,2019
2019-10-21,Athmar Park,7,2,4,2,1,2,4,15 days,1,2019
2019-10-21,Athmar Park,7,2,5,2,1,1,2,15 days,1,2019
2019-10-21,Athmar Park,7,2,5,2,1,2,1,15 days,2,2019
2019-10-21,Athmar Park,7,2,6,2,1,1,1,15 days,3,2019
2019-10-21,Athmar Park,7,2,6,2,1,1,2,15 days,1,2019
2019-10-21,Athmar Park,7,2,6,2,1,1,3,15 days,2,2019
2019-10-21,Athmar Park,7,2,6,2,1,2,1,15 days,2,2019
2019-10-21,Athmar Park,7,2,6,2,1,3,2,15 days,1,2019
2019-10-21,Athmar Park,7,2,7,3,2,1,2,15 days,2,2019
2019-10-21,Athmar Park,7,2,7,3,2,1,3,15 days,1,2019
2019-10-21,Athmar Park,7,2,7,3,2,2,1,15 days,3,2019
2019-10-21,Athmar Park,7,2,8,3,2,1,3,15 days,1,2019
2019-10-21,Athmar Park,7,2,8,3,2,2,1,15 days,4,2019
2019-10-21,Athmar Park,7,2,8,3,2,2,2,15 days,1,2019
2019-10-21,Athmar Park,7,2,8,3,2,2,3,15 days,1,2019
2019-10-21,Athmar Park,7,2,9,3,2,1,1,15 days,4,2019
2019-10-21,Athmar Park,7,2,9,3,2,1,2,15 days,1,2019
2019-10-21,Athmar Park,7,2,9,3,2,1,3,15 days,1,2019
2019-10-21,Athmar Park,7,2,9,3,2,2,1,15 days,4,2019
